GeneID,Cardamine,log2FC_Ox_WT_leaf_protoplast,Ox.leaf.vs.protoplast_q_value,log2FC_Col0_leaf_protoplast,Col0.leaf.vs.protoplast_q_value
AT2G21150,Chir04Ox_b00270.2,NA,NA,1.613135416,0.000314934
AT2G21430,Chir04Ox_b00600.2,NA,NA,1.501748749,0.025622146
AT2G21500,Chir04Ox_b00680.2,NA,NA,1.239815503,0.037774839
AT2G21620,Chir04Ox_b00820.2,1.087802578,0.001259173,NA,NA
AT2G21630,Chir04Ox_b00830.2,1.021494824,0.00612049,NA,NA
AT2G21790,Chir04Ox_b01040.2,NA,NA,1.681780127,0.000697245
AT2G21820,Chir02Ox_b26390.2,4.403408784,1.71e-26,NA,NA
AT2G22010,Chir04Ox_b01260.2,NA,NA,1.926490095,0.000580155
AT2G22240,Chir04Ox_b01590.2,NA,NA,1.151613692,0.015731768
AT2G22300,Chir04Ox_b01670.2,1.164492275,0.001555422,1.880578245,0.00056618
AT2G22330,Chir04Ox_b01690.2,NA,NA,1.454827408,0.041522476
AT2G22470,Chir04Ox_b01780.2,1.736304187,1.67e-05,3.874800914,7.64e-06
AT2G22500,Chir04Ox_b01820.2,1.755806719,4.73e-05,NA,NA
AT2G22610,Chir04Ox_b01980.2,NA,NA,1.3365165,0.001327518
AT2G22790,Chir04Ox_b02190.2,2.671617362,3.72e-06,NA,NA
AT2G22795,Chir04Ox_b02200.2,NA,NA,2.181817448,7.29e-06
AT2G23120,Chir04Ox_b02440.2,NA,NA,2.175336621,0.00093669
AT2G23170,Chir04Ox_b02400.2,NA,NA,2.385041879,0.000185134
AT2G23320,Chir04Ox_b02750.2,NA,NA,2.020556311,0.000152344
AT2G23340,Chir04Ox_b02760.2,NA,NA,1.691463752,0.000337877
AT2G23420,Chir04Ox_b02820.2,NA,NA,1.003324581,0.049837369
AT2G23770,Chir04Ox_b03650.2,NA,NA,1.812131636,0.018727998
AT2G23810,Chir04Ox_b03710.2,1.463082353,0.001429186,1.542345586,0.042025097
AT2G24100,Chir04Ox_b07090.2,3.152368744,8.23e-19,2.846565245,5.27e-06
AT2G24120,Chir04Ox_b07070.2,NA,NA,1.214834167,0.012282625
AT2G24320,Chir04Ox_b06690.2,NA,NA,2.351119006,6.02e-05
AT2G24490,Chir04Ox_b06480.2,NA,NA,2.683321311,7.29e-10
AT2G24550,Chir04Ox_b06370.2,NA,NA,2.259005793,6.11e-05
AT2G24580,Chir04Ox_b06330.2,NA,NA,1.703133573,0.000984769
AT2G24640,Chir04Ox_b06270.2,NA,NA,1.137952146,0.0171651
AT2G24680,Chir04Ox_b06160.2,NA,NA,1.67486097,0.007941504
AT2G24850,Chir04Ox_b05810.2,NA,NA,1.675624326,6.59e-07
AT2G25140,Chir04Ox_b05530.2,1.32204067,0.00013509,NA,NA
AT2G25460,Chir04Ox_b05150.2,2.55453817,0.00961802,4.420384404,0.003798535
AT2G25690,Chir04Ox_b04720.2,1.6024632,2.98e-06,1.910142313,0.006094626
AT2G26000,Chir04Ox_b13520.2,NA,NA,1.153148719,0.038392138
AT2G26040,Chir04Ox_b03880.2,NA,NA,2.143722758,0.009771738
AT2G26080,Chir04Ox_b03940.2,NA,NA,1.298721857,0.013798712
AT2G26150,Chir04Ox_b04090.2,7.367859365,5.5e-37,5.568860524,4.21e-25
AT2G26190,Chir04Ox_b04170.2,NA,NA,1.837745459,0.00387479
AT2G26530,Chir04Ox_b08770.2,NA,NA,2.940895456,1.19e-06
AT2G26540,Chir02Ox_b04080.2,NA,NA,1.034657187,0.047858159
AT2G27040,Chir04Ox_b08090.2,NA,NA,1.246242023,0.0111067
AT2G27080,Chir04Ox_b08130.2,1.234843406,0.002832956,NA,NA
AT2G27090,Chir04Ox_b08140.2,NA,NA,1.011097396,0.043475645
AT2G27150,Chir04Ox_b08260.2,NA,NA,1.154181003,0.014136519
AT2G27170,Chir04Ox_b08300.2,NA,NA,1.558771139,0.000833711
AT2G27260,Chir04Ox_b08470.2,NA,NA,1.375971264,0.013390842
AT2G27270,Chir04Ox_b08480.2,NA,NA,3.549746044,1.93e-10
AT2G27310,Chir04Ox_b08570.2,1.754106718,0.008624653,2.931953608,3.43e-07
AT2G27470,Chir04Ox_b08840.2,NA,NA,1.284932894,0.019301422
AT2G27500,Chir04Ox_b08870.2,2.803553957,4.76e-05,NA,NA
AT2G28140,Chir04Ox_b09590.2,NA,NA,1.548644134,0.037892341
AT2G28400,Chir04Ox_b09920.2,1.598266614,0.030618547,1.957519252,0.010612564
AT2G28890,Chir04Ox_b10550.2,NA,NA,1.126397085,0.018403854
AT2G29420,Chir04Ox_b11070.2,NA,NA,4.936375888,3.43e-17
AT2G29440,Chir04Ox_b11080.2,NA,NA,3.869785757,1.01e-08
AT2G29450,Chir04Ox_b11090.2,1.365225305,5.14e-05,3.658107892,2.03e-13
AT2G29460,Chir04Ox_b11100.2,NA,NA,3.566428458,7.14e-11
AT2G29470,Chir04Ox_b11120.2,1.729443749,0.017755251,NA,NA
AT2G29500,Chir04Ox_b11210.2,10.97764409,3.46e-57,4.712335482,1.31e-10
AT2G29510,Chir04Ox_b11220.2,1.474890144,0.000316823,1.157680316,0.027224231
AT2G29650,Chir04Ox_b11340.2,NA,NA,1.288326294,0.020532241
AT2G29940,Chir04Ox_b11510.2,NA,NA,1.551522391,0.000882504
AT2G30020,Chir04Ox_b11600.2,3.072570878,5.25e-14,NA,NA
AT2G30040,Chir04Ox_b11660.2,2.919338321,6.52e-18,NA,NA
AT2G30100,Chir04Ox_b11720.2,NA,NA,1.396596682,0.002478842
AT2G30250,Chir04Ox_b11890.2,NA,NA,1.469052571,0.035442593
AT2G30320,Chir04Ox_b11970.2,NA,NA,1.190217042,0.012553288
AT2G30360,Chir04Ox_b12010.2,1.150013941,0.001377205,NA,NA
AT2G30440,Chir04Ox_b12160.2,NA,NA,1.329138306,0.028271725
AT2G30500,Chir04Ox_b12230.2,NA,NA,1.234988836,0.039295467
AT2G30766,Chir04Ox_b12520.2,NA,NA,3.173598996,0.04096155
AT2G30990,Chir04Ox_b12780.2,NA,NA,1.154209836,0.022343419
AT2G31270,Chir04Ox_b13090.2,NA,NA,1.154206105,0.026000433
AT2G31380,Chir04Ox_b13250.2,NA,NA,1.638910257,0.009817916
AT2G31530,Chir04Ox_b13390.2,NA,NA,1.167884709,0.011596318
AT2G31730,Chir04Ox_b13670.2,NA,NA,1.836630308,0.012963957
AT2G31840,Chir04Ox_b13560.2,NA,NA,1.080505683,0.037968521
AT2G31865,Chir04Ox_b13690.2,1.279090129,0.007965029,4.080505068,3.27e-13
AT2G31880,Chir04Ox_b13730.2,NA,NA,2.073085616,0.001616194
AT2G31945,Chir04Ox_b13820.2,NA,NA,3.428743467,1.34e-05
AT2G31970,Chir04Ox_b13870.2,NA,NA,1.187038728,0.019900948
AT2G31985,Chir04Ox_b13900.2,1.839824005,2.26e-06,NA,NA
AT2G32120,Chir04Ox_b14040.2,4.44751704,1.42e-25,2.601829272,1.96e-08
AT2G32210,Chir04Ox_b14070.2,5.035842857,9.52e-12,3.539528352,0.000716781
AT2G32235,Chir04Ox_b14110.2,NA,NA,2.197615713,0.002015939
AT2G32240,Chir04Ox_b14120.2,NA,NA,1.84289902,0.021004405
AT2G32250,Chir04Ox_b14130.2,NA,NA,1.738891666,0.000956738
AT2G32340,Chir04Ox_b14240.2,NA,NA,1.148034712,0.049080583
AT2G32400,Chir04Ox_b14310.2,NA,NA,1.012332765,0.029776076
AT2G32930,Chir04Ox_b14940.2,NA,NA,2.44418917,2.66e-05
AT2G32940,Chir04Ox_b14950.2,NA,NA,1.912332764,7.21e-06
AT2G32950,Chir04Ox_b14960.2,NA,NA,1.17141388,0.014244057
AT2G32970,Chir04Ox_b14980.2,NA,NA,1.199075324,0.026430341
AT2G33100,Chir04Ox_b15170.2,1.723890308,2.06e-08,2.696241569,7.31e-17
AT2G33210,Chir04Ox_b15290.2,NA,NA,1.6438941,0.000639599
AT2G33380,Chir04Ox_b15460.2,1.800589919,4.23e-07,NA,NA
AT2G33580,Chir04Ox_b15680.2,2.121638806,7.14e-05,3.411030794,8.46e-05
AT2G33590,Chir04Ox_b15700.2,NA,NA,2.399459802,3.67e-08
AT2G33700,Chir04Ox_b15770.2,NA,NA,1.926552222,0.000274631
AT2G34260,Chir04Ox_b16430.2,NA,NA,1.256476615,0.045720474
AT2G34450,Chir04Ox_b16620.2,NA,NA,1.771944616,0.010803803
AT2G34500,Chir04Ox_b16670.2,NA,NA,1.088699251,2.58e-05
AT2G34640,Chir04Ox_b16820.2,NA,NA,1.401312873,0.006248827
AT2G34650,Chir04Ox_b16830.2,1.672961096,4.46e-07,2.235631147,2.02e-07
AT2G34660,Chir04Ox_b16850.2,NA,NA,2.651109269,1.91e-09
AT2G34730,Chir04Ox_b16920.2,NA,NA,1.071014476,0.025878166
AT2G34930,Chir04Ox_b17120.2,1.495978814,0.027280299,NA,NA
AT2G35000,Chir04Ox_b17180.2,NA,NA,1.153482533,0.013521753
AT2G35350,Chir04Ox_b17500.2,NA,NA,1.280681474,0.007960112
AT2G35390,Chir04Ox_b17540.2,NA,NA,1.075961713,0.035465727
AT2G35510,Chir04Ox_b17650.2,NA,NA,1.339814975,0.032557739
AT2G35600,Chir04Ox_b17740.2,NA,NA,1.559522341,0.033397982
AT2G35640,Chir04Ox_b17830.2,NA,NA,1.648728721,0.016693499
AT2G35650,Chir04Ox_b17840.2,NA,NA,1.179788204,0.027224231
AT2G35658,Chir04Ox_b17860.2,1.789050788,0.001389992,2.828830844,0.018801154
AT2G35660,Chir04Ox_b17850.2,NA,NA,1.202064574,0.034756297
AT2G35720,Chir04Ox_b17920.2,NA,NA,1.195035487,0.013762063
AT2G35980,Chir04Ox_b18190.2,1.887089173,0.048394328,NA,NA
AT2G36010,Chir04Ox_b18230.2,NA,NA,1.581428047,0.001940697
AT2G36200,Chir04Ox_b18400.2,NA,NA,1.453910326,0.002059384
AT2G36220,Chir04Ox_b18420.2,5.576830265,9.14e-30,3.257766245,1.08e-05
AT2G36310,Chir04Ox_b18540.2,NA,NA,1.465711942,0.002074234
AT2G36320,Chir04Ox_b18550.2,1.164327145,0.001361392,NA,NA
AT2G36580,Chir04Ox_b18830.2,1.090278376,0.000680611,NA,NA
AT2G36640,Chir04Ox_b18880.2,1.32958402,0.009629132,NA,NA
AT2G36740,Chir04Ox_b19010.2,NA,NA,1.37227243,0.005370895
AT2G36850,Chir04Ox_b19200.2,NA,NA,1.790091208,0.000489738
AT2G36880,Chir04Ox_b19240.2,NA,NA,1.295785123,0.030364235
AT2G36885,Chir04Ox_b19250.2,NA,NA,1.602389969,0.001101378
AT2G36950,Chir04Ox_b19310.2,NA,NA,2.830476615,5.75e-05
AT2G37025,Chir04Ox_b19440.2,1.070663043,0.02808322,NA,NA
AT2G37040,Chir04Ox_b19470.2,NA,NA,2.14230323,2.37e-06
AT2G37080,Chir04Ox_b19510.2,NA,NA,1.817551525,0.000125203
AT2G37110,Chir04Ox_b19540.2,NA,NA,1.575756924,0.001735902
AT2G37240,Chir04Ox_b20250.2,NA,NA,1.887593435,0.006958841
AT2G37430,Chir04Ox_b20060.2,2.511626764,6.13e-06,2.993648871,0.002484398
AT2G37520,Chir04Ox_b19990.2,NA,NA,1.148118093,0.014755035
AT2G37940,Chir04Ox_b20380.2,NA,NA,1.424519552,0.002583535
AT2G37960,Chir04Ox_b20400.2,NA,NA,1.553078147,0.003398153
AT2G37970,Chir04Ox_b20420.2,NA,NA,3.660968138,7.29e-10
AT2G37980,Chir04Ox_b20440.2,1.066254495,0.013060115,2.074874587,8.89e-05
AT2G38010,Chir04Ox_b20470.2,NA,NA,1.953637381,0.000233027
AT2G38060,Chir04Ox_b20520.2,NA,NA,1.27239047,0.006298041
AT2G38230,Chir04Ox_b20690.2,1.127694639,0.037586159,NA,NA
AT2G38240,Chir04Ox_b20700.2,NA,NA,4.407924357,9.49e-07
AT2G38250,Chir04Ox_b20710.2,NA,NA,2.621177076,2.7e-06
AT2G38290,Chir04Ox_b20740.2,NA,NA,2.039697739,0.001939962
AT2G38470,Chir04Ox_b20980.2,2.790663081,0.003226507,3.532630255,1.64e-05
AT2G38580,Chir04Ox_b21080.2,NA,NA,1.309790556,0.004382006
AT2G38650,Chir04Ox_b21140.2,NA,NA,1.066346032,0.032003164
AT2G38720,Chir04Ox_b21230.2,NA,NA,1.604522757,0.00156249
AT2G38810,Chir04Ox_b21360.2,NA,NA,1.356026972,0.005615469
AT2G38823,Chir04Ox_b21380.2,2.704396271,2.86e-08,NA,NA
AT2G39200,Chir04Ox_b21750.2,2.731038878,6.38e-11,2.571412552,0.010097619
AT2G39210,Chir07Ox_b12720.2,NA,NA,1.60131238,0.001113295
AT2G39220,Chir04Ox_b21780.2,NA,NA,1.141512402,0.027895501
AT2G39350,Chir04Ox_b21940.2,NA,NA,1.43539252,0.041302682
AT2G39420,Chir04Ox_b22010.2,NA,NA,2.741404906,2.94e-06
AT2G39560,Chir04Ox_b22160.2,NA,NA,1.862165296,0.049426547
AT2G39650,Chir04Ox_b22210.2,3.424167909,5.03e-12,2.345318696,0.007839425
AT2G39660,Chir04Ox_b22220.2,1.369785762,0.000890014,2.121678809,0.000521099
AT2G40000,Chir04Ox_b22620.2,2.701735923,1.08e-12,1.928607494,0.029195648
AT2G40090,Chir04Ox_b22720.2,1.068742173,0.004663404,NA,NA
AT2G40095,Chir04Ox_b22730.2,NA,NA,1.830537067,0.006921464
AT2G40140,Chir04Ox_b22820.2,2.846299888,4.06e-06,2.562221021,0.004161956
AT2G40180,Chir04Ox_b22870.2,NA,NA,2.285909429,6.45e-06
AT2G40270,Chir04Ox_b23000.2,NA,NA,1.683050001,0.004935906
AT2G40340,Chir04Ox_b23090.2,NA,NA,2.12024066,4.94e-05
AT2G40550,Chir04Ox_b23330.2,NA,NA,1.386403391,0.006224065
AT2G40850,Chir04Ox_b23630.2,1.384176386,0.004861033,NA,NA
AT2G40950,Chir04Ox_b23710.2,1.559219917,2.88e-06,NA,NA
AT2G41010,Chir04Ox_b23780.2,3.788011237,2.79e-13,3.451140669,0.000901481
AT2G41050,Chir04Ox_b23810.2,NA,NA,1.529895489,0.006739847
AT2G41070,Chir04Ox_b23830.2,NA,NA,1.487035774,0.022737179
AT2G41080,Chir04Ox_b23840.2,1.119489811,0.01389696,NA,NA
AT2G41120,Chir04Ox_b23860.2,1.58195654,0.000795784,2.004765339,0.004334059
AT2G41150,Chir04Ox_b23890.2,NA,NA,2.082396438,0.003560551
AT2G41250,Chir04Ox_b24010.2,NA,NA,1.248223942,0.009188338
AT2G41380,Chir04Ox_b24170.2,2.546179706,0.000327938,NA,NA
AT2G41410,Chir04Ox_b24200.2,NA,NA,1.605797028,0.017599091
AT2G41420,Chir04Ox_b24230.2,NA,NA,1.992830109,4.49e-05
AT2G41450,Chir04Ox_b24250.2,2.861059853,1.1e-16,1.47068202,0.00113712
AT2G41460,Chir04Ox_b24270.2,NA,NA,1.252550412,0.00791405
AT2G41550,Chir04Ox_b24370.2,1.092819296,0.001179712,NA,NA
AT2G41630,Chir04Ox_b24420.2,1.033901787,0.001534463,NA,NA
AT2G41680,Chir04Ox_b24470.2,NA,NA,1.183547554,0.037172787
AT2G41905,Chir04Ox_b24720.2,NA,NA,2.560010293,0.038567287
AT2G42120,Chir04Ox_b24890.2,NA,NA,1.287301248,0.014658346
AT2G42150,Chir04Ox_b24930.2,NA,NA,1.208388967,0.040939378
AT2G42270,Chir04Ox_b25020.2,1.131163313,0.000407623,NA,NA
AT2G42330,Chir04Ox_b25090.2,NA,NA,1.230742813,0.04486904
AT2G42340,Chir08Ox_b09970.2,NA,NA,1.673536978,0.006799773
AT2G42360,Chir04Ox_b25120.2,NA,NA,1.806535152,0.004399384
AT2G42380,Chir04Ox_b25140.2,NA,NA,1.391490549,0.027480482
AT2G42510,Chir04Ox_b25260.2,1.265896281,0.036440883,NA,NA
AT2G42760,Chir04Ox_b25500.2,NA,NA,2.358822121,1.02e-05
AT2G42950,Chir04Ox_b25680.2,NA,NA,1.351487045,0.009809406
AT2G42960,Chir04Ox_b25690.2,NA,NA,1.284852124,0.011471249
AT2G43120,Chir04Ox_b25860.2,NA,NA,2.235003061,0.005604571
AT2G43240,Chir04Ox_b25980.2,NA,NA,1.282501873,0.018079428
AT2G43290,Chir04Ox_b26020.2,1.103545147,0.002224326,1.461632287,0.049770865
AT2G43320,Chir04Ox_b26040.2,NA,NA,2.270461619,1.17e-05
AT2G43340,Chir04Ox_b26060.2,1.223543168,0.00925603,NA,NA
AT2G43410,Chir04Ox_b26160.2,1.463910677,4.34e-06,2.283707431,8.32e-08
AT2G43650,Chir04Ox_b26480.2,NA,NA,1.174011504,0.018801154
AT2G43745,Chir03Ox_b23810.2,NA,NA,2.048018684,0.003155802
AT2G43945,Chir04Ox_b26770.2,NA,NA,1.165704624,0.031491
AT2G44200,Chir04Ox_b27000.2,1.054322685,0.001198445,1.895011973,0.00024204
AT2G44430,Chir04Ox_b27230.2,NA,NA,1.740847048,0.000260217
AT2G44490,Chir04Ox_b27290.2,NA,NA,1.148963176,0.038930309
AT2G44500,Chir04Ox_b27310.2,2.361946035,7.06e-10,2.791797724,2.83e-05
AT2G44580,Chir04Ox_b27420.2,NA,NA,1.946590329,7.94e-05
AT2G44670,Chir04Ox_b27500.2,NA,NA,2.078188666,0.000207048
AT2G44810,Chir04Ox_b27630.2,1.036008053,0.003297401,NA,NA
AT2G44840,Chir04Ox_b27680.2,2.045951006,1.73e-07,2.12945382,0.002768075
AT2G45270,Chir04Ox_b28090.2,NA,NA,1.092508347,0.019138422
AT2G45300,Chir04Ox_b28110.2,NA,NA,1.506165414,0.001942757
AT2G45380,Chir04Ox_b28180.2,3.761863664,8.1e-22,NA,NA
AT2G45400,Chir04Ox_b28190.2,NA,NA,1.239592963,0.028271725
AT2G45680,Chir04Ox_b28500.2,2.040082685,9.35e-11,4.021285199,3.28e-14
AT2G45760,Chir04Ox_b28640.2,NA,NA,3.047687721,8.65e-05
AT2G45920,Chir04Ox_b28830.2,1.618609328,2.84e-05,1.73953999,0.001191141
AT2G45950,Chir04Ox_b28850.2,1.079509066,0.000720538,NA,NA
AT2G46250,Chir04Ox_b29120.2,1.274115044,0.000205266,NA,NA
AT2G46270,Chir04Ox_b29140.2,1.9491373,8.14e-08,2.772695267,0.005272565
AT2G46330,Chir04Ox_b29200.2,1.394872297,7.53e-05,NA,NA
AT2G46340,Chir04Ox_b29210.2,NA,NA,1.336227927,0.001540611
AT2G46370,Chir04Ox_b29230.2,1.862084423,1.67e-07,1.600413315,0.003909993
AT2G46380,Chir04Ox_b29250.2,NA,NA,1.471349974,0.001109078
AT2G46400,Chir04Ox_b29270.2,NA,NA,3.574004803,0.000110086
AT2G46420,Chir04Ox_b29290.2,NA,NA,2.01091544,2.17e-05
AT2G46500,Chir04Ox_b29410.2,2.000101321,2.45e-08,1.870569591,0.002068386
AT2G46510,Chir04Ox_b29430.2,2.570294714,9.77e-13,2.484982128,3.68e-06
AT2G46735,Chir04Ox_b29650.2,1.187373013,0.022785699,2.055697836,0.001585849
AT2G46780,Chir04Ox_b29690.2,NA,NA,1.136508123,0.016418894
AT2G46790,Chir04Ox_b29710.2,NA,NA,2.596168946,4.72e-05
AT2G46830,Chir04Ox_b29750.2,NA,NA,3.752884985,2.98e-09
AT2G46915,Chir04Ox_b29840.2,NA,NA,1.094731787,0.017392967
AT2G46980,Chir04Ox_b29910.2,NA,NA,2.122855307,9.2e-07
AT2G47000,Chir04Ox_b29930.2,NA,NA,1.411854609,0.000149082
AT2G47060,Chir04Ox_b29980.2,2.852566633,1.76e-13,2.91902888,1.8e-08
AT2G47070,Chir04Ox_b29990.2,1.533939905,4.65e-06,1.914729472,0.000119538
AT2G47120,Chir04Ox_b30040.2,4.457678976,2.18e-18,NA,NA
AT2G47130,Chir04Ox_b30050.2,3.486661822,8.9e-08,NA,NA
AT2G47140,Chir04Ox_b30060.2,3.004106797,0.000163812,4.135913819,1.48e-09
AT2G47180,Chir04Ox_b30110.2,2.896098523,1.77e-08,2.504563329,7.33e-06
AT2G47260,Chir04Ox_b30210.2,2.489665532,1.94e-11,2.394212163,0.00018874
AT2G47410,Chir04Ox_b30360.2,NA,NA,1.48304963,0.001267671
AT2G47490,Chir04Ox_b30450.2,NA,NA,2.448297962,2.46e-07
AT2G47520,Chir04Ox_b30490.2,1.877749844,0.001488898,3.048805353,2.26e-07
AT2G47680,Chir04Ox_b30630.2,NA,NA,2.066859212,8.32e-05
AT2G47730,Chir04Ox_b30670.2,NA,NA,2.105329337,5.19e-05
AT2G47770,Chir04Ox_b30710.2,1.882057727,0.002002041,NA,NA
AT2G47800,Chir04Ox_b30740.2,NA,NA,1.526382874,3.03e-05
AT2G47820,Chir04Ox_b30770.2,1.232026938,0.003972856,NA,NA
AT2G47950,Chir04Ox_b30890.2,4.826753789,6.94e-21,2.557924884,0.013425721
AT2G48120,Chir04Ox_b13140.2,NA,NA,1.185775991,0.024246469
AT3G01060,Chir03Ox_b01150.2,NA,NA,2.57988896,1.32e-06
AT3G01120,Chir03Ox_b01090.2,NA,NA,1.16557121,0.02514784
AT3G01516,Chir03Ox_b00580.2,NA,NA,2.118888951,0.029632144
AT3G01550,Chir03Ox_b00530.2,NA,NA,2.480402426,1.67e-07
AT3G01640,Chir03Ox_b00440.2,NA,NA,1.578130615,0.004156149
AT3G01650,Chir03Ox_b00430.2,NA,NA,1.120563409,0.018097602
AT3G01710,Chir03Ox_b00380.2,NA,NA,1.213412617,0.016683776
AT3G01800,Chir03Ox_b00290.2,NA,NA,1.261908507,0.02770569
AT3G01820,Chir03Ox_b00270.2,NA,NA,2.141642097,8.47e-05
AT3G01830,Chir03Ox_b00260.2,2.565700309,0.019773061,5.611104382,5.43e-05
AT3G02070,Chir03Ox_b00010.2,NA,NA,1.534450208,0.004477873
AT3G02140,Chir03Ox_b01260.2,NA,NA,1.774039145,0.012906194
AT3G02380,Chir03Ox_b01490.2,NA,NA,1.55912258,0.016822073
AT3G02400,Chir03Ox_b01500.2,NA,NA,1.63192204,0.000303314
AT3G02470,Chir03Ox_b01570.2,NA,NA,1.230128016,0.037842262
AT3G02480,Chir03Ox_b01580.2,1.681661728,0.002868808,NA,NA
AT3G02830,Chir03Ox_b01970.2,NA,NA,1.380899418,0.005328384
AT3G02840,Chir03Ox_b01990.2,4.173245329,1.7e-12,2.720722579,0.022756417
AT3G02870,Chir03Ox_b02020.2,NA,NA,1.401061631,0.024126801
AT3G02880,Chir03Ox_b02040.2,1.537512791,2.25e-05,1.924443507,0.00077472
AT3G02890,Chir03Ox_b02060.2,NA,NA,1.797478027,6.51e-05
AT3G02910,Chir03Ox_b02080.2,1.189811541,0.025996101,NA,NA
AT3G03050,Chir03Ox_b02190.2,2.447861314,2.63e-13,2.11817666,0.000115386
AT3G03110,Chir03Ox_b02250.2,1.614888478,6.51e-07,1.580295914,0.000541305
AT3G03280,Chir03Ox_b02430.2,1.895481931,0.00296014,NA,NA
AT3G03340,Chir03Ox_b02500.2,NA,NA,1.218431246,0.014440002
AT3G03770,Chir03Ox_b02940.2,NA,NA,2.035795299,2.38e-06
AT3G03930,Chir03Ox_b03170.2,2.37882784,7.31e-06,NA,NA
AT3G04010,Chir03Ox_b03270.2,1.576159126,0.001027445,2.626167862,0.000521099
AT3G04110,Chir03Ox_b03370.2,NA,NA,1.19730966,0.049659626
AT3G04120,Chir03Ox_b03380.2,NA,NA,1.413541821,0.005084607
AT3G04240,Chir03Ox_b03490.2,NA,NA,1.726008964,0.001031093
AT3G04620,Chir03Ox_b03900.2,1.386489125,0.025117819,3.694728296,1.02e-09
AT3G04640,Chir03Ox_b03920.2,NA,NA,2.131222704,0.008079528
AT3G04650,Chir03Ox_b03930.2,NA,NA,1.807841748,0.0001603
AT3G04660,Chir06Ox_b27480.2,NA,NA,1.080252595,0.001219794
AT3G04980,Chir03Ox_b04310.2,NA,NA,1.049493005,0.017687036
AT3G05165,Chir03Ox_b04520.2,NA,NA,1.300202402,0.025999364
AT3G05200,Chir03Ox_b04560.2,2.346055852,5.49e-09,1.821281904,0.001609724
AT3G05360,Chir04Ox_b06960.2,1.207463299,0.035383132,NA,NA
AT3G05380,Chir03Ox_b04740.2,NA,NA,1.065266288,0.042911595
AT3G05490,Chir03Ox_b04860.2,NA,NA,1.220174358,0.03434632
AT3G05500,Chir03Ox_b04870.2,4.024091873,1.45e-20,3.47208735,2.95e-09
AT3G05510,Chir03Ox_b04880.2,2.570183734,3.12e-15,2.320056021,1.35e-05
AT3G05580,Chir03Ox_b04980.2,1.657330343,2.11e-07,2.223684366,0.000125447
AT3G05670,Chir03Ox_b05080.2,NA,NA,1.959584692,0.000235527
AT3G05740,Chir03Ox_b05180.2,NA,NA,1.487243209,0.007511459
AT3G05800,Chir03Ox_b05230.2,3.095707736,1.6e-11,NA,NA
AT3G05830,Chir03Ox_b05270.2,NA,NA,1.568293544,0.001803693
AT3G05840,Chir03Ox_b05280.2,NA,NA,1.20256387,0.014458728
AT3G06150,Chir03Ox_b05660.2,1.264739609,8.7e-05,NA,NA
AT3G06500,Chir03Ox_b06020.2,2.825431053,2.85e-13,2.944963412,2.27e-06
AT3G06520,Chir03Ox_b06050.2,NA,NA,2.052528337,3.8e-05
AT3G06780,Chir03Ox_b06370.2,2.62688882,1.24e-12,1.335017144,0.012482545
AT3G06890,Chir03Ox_b06460.2,NA,NA,2.491307417,0.003042843
AT3G07090,Chir03Ox_b06650.2,5.056318053,6.47e-37,4.086122457,7.58e-19
AT3G07150,Chir03Ox_b06710.2,1.762901072,0.004605655,2.893691737,1.77e-05
AT3G07160,Chir03Ox_b06720.2,NA,NA,1.236877501,0.035117291
AT3G07195,Chir03Ox_b06770.2,1.477634499,9.59e-05,3.155202986,0.006086535
AT3G07250,Chir03Ox_b06830.2,2.103413765,1.28e-09,NA,NA
AT3G07370,Chir03Ox_b06950.2,NA,NA,1.391373976,0.005712173
AT3G07390,Chir03Ox_b06960.2,1.917871667,7.15e-08,2.453816494,0.000124397
AT3G07565,Chir03Ox_b07170.2,NA,NA,1.080307589,0.026556933
AT3G07610,Chir03Ox_b07230.2,NA,NA,1.333539551,0.001738361
AT3G07700,Chir03Ox_b07330.2,1.578902801,3.81e-07,1.290426489,0.011897112
AT3G07770,Chir03Ox_b07400.2,1.247904604,0.000291085,1.793720708,8.04e-05
AT3G07780,Chir03Ox_b07410.2,1.43862577,9.07e-06,1.392786097,0.013938665
AT3G07790,Chir03Ox_b07420.2,1.720321871,1.15e-07,NA,NA
AT3G07960,Chir03Ox_b07620.2,NA,NA,2.018205135,1.26e-05
AT3G08560,Chir03Ox_b07780.2,NA,NA,1.16303099,0.000985824
AT3G08620,Chir03Ox_b07840.2,NA,NA,1.124709742,0.042578485
AT3G08720,Chir03Ox_b07930.2,2.104735706,0.002004226,3.855340071,1.15e-05
AT3G08730,Chir03Ox_b07940.2,1.548077327,1.8e-06,1.446376217,0.010892027
AT3G08760,Chir03Ox_b07960.2,1.372536441,4.16e-05,1.228072514,0.011939287
AT3G08820,Chir03Ox_b08040.2,1.356055435,0.045223648,NA,NA
AT3G08970,Chir03Ox_b08200.2,4.071064553,7.18e-23,2.736616222,9.44e-10
AT3G08990,Chir03Ox_b08220.2,1.900914801,0.000551321,NA,NA
AT3G09010,Chir03Ox_b08240.2,NA,NA,1.69089997,0.014001577
AT3G09080,Chir03Ox_b08330.2,NA,NA,1.244254681,0.007378675
AT3G09085,Chir03Ox_b08340.2,1.607459544,0.046754676,NA,NA
AT3G09150,Chir03Ox_b08390.2,NA,NA,1.101014917,0.032405992
AT3G09350,Chir03Ox_b08580.2,5.178603495,1.34e-39,2.980495003,5.99e-09
